datetime,cpu,mem
Thu Aug  1 09:09:49 GMT 2019,6.3,96612
Thu Aug  1 09:09:50 GMT 2019,6.3,97010
Thu Aug  1 09:09:50 GMT 2019,6.3,135393
Thu Aug  1 09:09:50 GMT 2019,6.3,138508
Thu Aug  1 09:09:51 GMT 2019,6.3,138532
Thu Aug  1 09:09:51 GMT 2019,6.3,138597
Thu Aug  1 09:09:51 GMT 2019,6.3,138597
Thu Aug  1 09:09:51 GMT 2019,6.3,138597
Thu Aug  1 09:09:51 GMT 2019,6.3,138633
Thu Aug  1 09:09:52 GMT 2019,6.3,138633
Thu Aug  1 09:09:52 GMT 2019,6.3,138628
Thu Aug  1 09:09:52 GMT 2019,6.3,138588
Thu Aug  1 09:09:52 GMT 2019,6.3,138588
Thu Aug  1 09:09:53 GMT 2019,6.3,138588
Thu Aug  1 09:09:53 GMT 2019,6.3,138588
Thu Aug  1 09:09:53 GMT 2019,6.3,137724
Thu Aug  1 09:09:54 GMT 2019,6.3,137740
Thu Aug  1 09:09:54 GMT 2019,6.3,138013
Thu Aug  1 09:09:54 GMT 2019,6.3,138068
Thu Aug  1 09:09:54 GMT 2019,6.3,138068
Thu Aug  1 09:09:54 GMT 2019,6.3,138072
Thu Aug  1 09:09:55 GMT 2019,6.3,138068
Thu Aug  1 09:09:55 GMT 2019,6.3,138072
Thu Aug  1 09:09:55 GMT 2019,6.3,138072
Thu Aug  1 09:09:55 GMT 2019,6.3,138072
Thu Aug  1 09:09:56 GMT 2019,6.3,138068
Thu Aug  1 09:09:56 GMT 2019,6.3,138072
Thu Aug  1 09:09:56 GMT 2019,6.3,138068
Thu Aug  1 09:09:56 GMT 2019,6.3,138072
Thu Aug  1 09:09:57 GMT 2019,6.3,138072
Thu Aug  1 09:09:57 GMT 2019,6.3,138071
Thu Aug  1 09:09:57 GMT 2019,6.3,138075
Thu Aug  1 09:09:58 GMT 2019,6.3,138075
Thu Aug  1 09:09:58 GMT 2019,6.3,138075
Thu Aug  1 09:09:58 GMT 2019,6.3,138079
Thu Aug  1 09:09:58 GMT 2019,6.3,138075
Thu Aug  1 09:09:59 GMT 2019,6.3,138019
Thu Aug  1 09:09:59 GMT 2019,6.3,138043
Thu Aug  1 09:09:59 GMT 2019,6.3,138047
Thu Aug  1 09:09:59 GMT 2019,6.3,138047
Thu Aug  1 09:10:00 GMT 2019,6.3,138047
Thu Aug  1 09:10:00 GMT 2019,6.3,138047
Thu Aug  1 09:10:00 GMT 2019,6.3,138058
Thu Aug  1 09:10:00 GMT 2019,6.3,138058
Thu Aug  1 09:10:01 GMT 2019,6.3,138058
Thu Aug  1 09:10:01 GMT 2019,6.3,138054
Thu Aug  1 09:10:01 GMT 2019,6.3,138054
Thu Aug  1 09:10:01 GMT 2019,6.3,138058
Thu Aug  1 09:10:02 GMT 2019,6.3,138054
Thu Aug  1 09:10:02 GMT 2019,6.3,138068
Thu Aug  1 09:10:02 GMT 2019,6.3,138072
Thu Aug  1 09:10:02 GMT 2019,6.3,138068
Thu Aug  1 09:10:03 GMT 2019,6.3,138072
